symbol,market_cap,shares,last_price,currency,asof,error
SPY,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
QQQ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
IWM,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
GLD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SLV,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
TLT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
UUP,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NVDA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
TSLA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
MSTR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
COIN,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
PLTR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SMCI,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CVNA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
APP,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RKLB,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
BTC-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ETH-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SOL-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
