group,conditioning,bucket,n,p_max_3x,p_max_5x,p_max_10x,median_max,median_end,p_end_lt_0.5x,p_end_3x,p_end_10x
all,dd_bucket,< -80%,2768,0.21676300578034682,0.09393063583815028,0.029624277456647398,1.6468986,0.57215613,0.44761560693641617,0.08236994219653179,0.010476878612716763
all,dd_bucket,-80..-60%,2588,0.16190108191653788,0.059505409582689336,0.011978361669242658,1.5807612,0.90028083,0.27086553323029366,0.08771251931993818,0.005023183925811438
all,dd_bucket,-60..-30%,6089,0.08310067334537691,0.02184266710461488,0.0034488421744128758,1.4239708,1.0491962,0.14189522089012974,0.043521103629495815,0.0013138446378715717
all,dd_bucket,-30..0%,15855,0.031346578366445915,0.006117943866288237,0.0013245033112582781,1.3368846,1.1174685,0.05739514348785872,0.016966256701356038,0.0004415011037527594
all,prior_bucket,< -60%,1816,0.20814977973568283,0.09140969162995595,0.028634361233480177,1.6308615,0.5913873,0.44493392070484583,0.09416299559471365,0.011013215859030838
all,prior_bucket,-60..-30%,3220,0.12204968944099379,0.038198757763975154,0.010559006211180125,1.4984624,0.99095297,0.22639751552795032,0.058074534161490686,0.0037267080745341614
all,prior_bucket,-30..0%,7477,0.059783335562391335,0.017787882840711516,0.0026748696001069948,1.3798476,1.1116648,0.10097632740403906,0.029022335161160893,0.0012036913200481477
all,prior_bucket,0..+50%,11083,0.03942975728593341,0.011729676080483623,0.0023459352160967247,1.3310335,1.0960529,0.07109988270323919,0.02111341694487052,0.0009022827754218172
all,prior_bucket,+50..+150%,3092,0.08861578266494179,0.0203751617076326,0.004527813712807244,1.4383619,1.0300422,0.13454075032341525,0.04560155239327296,0.00129366106080207
all,prior_bucket,> +150%,612,0.15196078431372548,0.04738562091503268,0.014705882352941176,1.5719118,0.73574907,0.3562091503267974,0.06372549019607843,0.0032679738562091504
cap<300M,dd_bucket,< -80%,996,0.30522088353413657,0.13654618473895583,0.040160642570281124,2.023984,0.9381858,0.26104417670682734,0.11947791164658635,0.014056224899598393
cap<300M,dd_bucket,-80..-60%,792,0.22601010101010102,0.08964646464646464,0.023989898989898988,1.7939475,1.1115384,0.17297979797979798,0.1275252525252525,0.010101010101010102
cap<300M,dd_bucket,-60..-30%,1327,0.12660135644310475,0.04069329314242653,0.008289374529012811,1.5105821,1.0897436,0.10324039186134137,0.06028636021100226,0.003014318010550113
cap<300M,dd_bucket,-30..0%,1755,0.05242165242165242,0.012535612535612535,0.002279202279202279,1.3225807,1.0785844,0.0603988603988604,0.0245014245014245,0.0005698005698005698
cap<300M,prior_bucket,< -60%,588,0.3129251700680272,0.14285714285714285,0.04421768707482993,2.0682106,0.9750973,0.2534013605442177,0.1377551020408163,0.015306122448979591
cap<300M,prior_bucket,-60..-30%,868,0.1912442396313364,0.06566820276497695,0.024193548387096774,1.6936315,1.1217712,0.1728110599078341,0.0956221198156682,0.009216589861751152
cap<300M,prior_bucket,-30..0%,1422,0.1258790436005626,0.047116736990154715,0.009142053445850914,1.4361897,1.1178746,0.09071729957805907,0.05555555555555555,0.004219409282700422
cap<300M,prior_bucket,0..+50%,1495,0.08896321070234113,0.032107023411371234,0.005351170568561873,1.3828394,1.0654402,0.08695652173913043,0.04414715719063545,0.0026755852842809363
cap<300M,prior_bucket,+50..+150%,388,0.16752577319587628,0.05412371134020619,0.010309278350515464,1.5879246,0.9456896,0.13917525773195877,0.06443298969072164,0.0
cap<300M,prior_bucket,> +150%,109,0.14678899082568808,0.05504587155963303,0.01834862385321101,1.5531927,0.89076924,0.25688073394495414,0.08256880733944955,0.0
cap>=2B,dd_bucket,< -80%,780,0.10256410256410256,0.038461538461538464,0.019230769230769232,1.3311471,0.13806611,0.7410256410256411,0.020512820512820513,0.00641025641025641
cap>=2B,dd_bucket,-80..-60%,784,0.10459183673469388,0.03571428571428571,0.01020408163265306,1.4099042,0.6706654,0.39668367346938777,0.04846938775510204,0.002551020408163265
cap>=2B,dd_bucket,-60..-30%,2388,0.05820770519262981,0.01507537688442211,0.0020938023450586263,1.3711572,1.025814,0.16415410385259632,0.03098827470686767,0.0008375209380234506
cap>=2B,dd_bucket,-30..0%,9424,0.022920203735144314,0.0036078098471986416,0.0008488964346349745,1.347414,1.1382948,0.054223259762308997,0.013476230899830221,0.00031833616298811547
cap>=2B,prior_bucket,< -60%,578,0.10207612456747404,0.04498269896193772,0.020761245674740483,1.3869896,0.17505397,0.6885813148788927,0.03633217993079585,0.00865051903114187
cap>=2B,prior_bucket,-60..-30%,1123,0.07212822796081923,0.016918967052537846,0.004452359750667854,1.3825084,0.88941276,0.2858414959928762,0.030276046304541407,0.0
cap>=2B,prior_bucket,-30..0%,3381,0.03046435965690624,0.006802721088435374,0.0008873114463176575,1.3588953,1.1274457,0.10263235729074238,0.014788524105294291,0.0
cap>=2B,prior_bucket,0..+50%,6345,0.021434200157604413,0.005200945626477541,0.001260835303388495,1.3265723,1.117949,0.06099290780141844,0.011505122143420015,0.0006304176516942475
cap>=2B,prior_bucket,+50..+150%,1662,0.057160048134777375,0.01022864019253911,0.0024067388688327317,1.4193385,1.0508672,0.12815884476534295,0.035499398315282794,0.0012033694344163659
cap>=2B,prior_bucket,> +150%,287,0.14982578397212543,0.03484320557491289,0.013937282229965157,1.5517242,0.5858809,0.43902439024390244,0.0627177700348432,0.003484320557491289
