symbol,entry_date,entry_close,peak_date,peak_close,multiple,days_to_peak,shares,entry_mcap_approx,cap_bucket
AA,2020-03-13,7.923940181732178,2022-03-04,89.99359893798828,11.35717797888722,721,263909445.00227168,2091202655.5921388,2-10B
AAOI,2016-05-13,9.149999618530273,2017-07-28,96.63999938964844,10.561749007501197,441,84906288.99663566,776892511.9300375,300M-2B
AAOI,2022-06-10,2.0899999141693115,2023-12-15,21.725000381469727,10.394737451510622,553,84906288.99663566,177454136.7154033,50-300M
AAOI,2022-11-04,2.0799999237060547,2023-12-15,21.725000381469727,10.444712104970202,406,84906288.99663566,176605074.6351664,50-300M
AAOI,2024-04-12,11.229999542236328,2026-04-10,150.60000610351562,13.410508659159333,728,84906288.99663566,953497586.5652039,300M-2B
AAOI,2025-03-07,15.819999694824219,2026-05-15,190.36000061035156,12.032870055783317,434,84906288.99663566,1343217466.015433,300M-2B
AAOI,2025-03-28,16.3799991607666,2026-05-15,190.36000061035156,11.621490254181582,413,84906288.99663566,1390764942.5086987,300M-2B
ABTC,2025-04-04,11.039999961853027,2025-09-12,118.3499984741211,10.720108594480143,161,72819713.0171544,803929628.931533,300M-2B
ABTS,2019-05-24,19.799999237060547,2021-05-21,219.4499969482422,11.083333606270438,728,3214444.881889764,63646006.208990514,50-300M
ABTS,2019-07-05,34.04999923706055,2021-07-02,345.75,10.154185249545625,728,3214444.881889764,109451845.77591965,50-300M
ABTS,2021-02-26,30.299999237060547,2021-07-09,425.25,14.03465381873238,133,3214444.881889764,97397677.46883303,50-300M
ABTS,2021-03-26,41.400001525878906,2021-07-09,425.25,10.27173875184953,105,3214444.881889764,133078023.01508988,50-300M
ACH,2019-04-12,3.757930040359497,2021-03-26,38.4739990234375,10.238082830237293,714,76904703.37288362,289002495.0498957,50-300M
ACH,2019-05-17,3.5784499645233154,2021-04-23,38.80400085449219,10.843801433356429,707,76904703.37288362,275199633.05637145,50-300M
ACH,2019-08-23,4.599279880523682,2021-06-11,47.53300094604492,10.334878976887298,658,76904703.37288362,353706254.9405453,300M-2B
ACH,2020-03-13,4.355999946594238,2021-06-11,47.53300094604492,10.912075649406022,455,76904703.37288362,334996883.7851268,300M-2B
ACIC,2022-07-15,1.3300000429153442,2024-02-23,13.600000381469727,10.225563866643709,588,47271827.99121845,62871533.25700731,50-300M
