symbol,name,market_cap,last_price,shares,sector,industry,ipo_year,asof,source,currency
A,Agilent Technologies Inc. Common Stock,46608478143.0,165.32,281928853.99830633,Industrials,Biotechnology: Laboratory Analytical Instruments,1999,2026-09-24,nasdaq_screener,
AA,Alcoa Corporation Common Stock ,11617293769.0,44.02,263909445.00227168,Industrials,Aluminum,2016,2026-09-24,nasdaq_screener,
AAC,Ares Acquisition Corporation III Class A Ordinary Shares,711690941.0,10.08,70604260.01984127,Industrials,Metal Fabrications,2026,2026-09-24,nasdaq_screener,
AACI,Armada Acquisition Corp. III Class A Ordinary Share,0.0,10.04,,Finance,Blank Checks,2026,2026-09-24,nasdaq_screener,
AACO,Abony Acquisition Corp. I Class A Ordinary Share,0.0,10.0,,,,2026,2026-09-24,nasdaq_screener,
AACP,Apogee Acquisition Corp Class A Ordinary Shares,0.0,10.1,,Finance,Blank Checks,2026,2026-09-24,nasdaq_screener,
AADX,Applied Aerospace & Defense Inc. Common Stock,2187673743.0,12.69,172393517.9669031,Industrials,Military/Government/Technical,2026,2026-09-24,nasdaq_screener,
AAL,American Airlines Group Inc. Common Stock,8837298846.0,13.35,661969951.011236,Consumer Discretionary,Air Freight/Delivery Services,,2026-09-24,nasdaq_screener,
AAME,Atlantic American Corporation Common Stock,28352147.0,1.39,20397228.05755396,Finance,Life Insurance,,2026-09-24,nasdaq_screener,
AAMI,Acadian Asset Management Inc. Common Stock,3247701613.0,91.51,35490127.996940225,Finance,Investment Managers,2014,2026-09-24,nasdaq_screener,
AAOI,Applied Optoelectronics Inc. Common Stock,8580629566.0,101.06,84906288.99663566,Technology,Semiconductors,2013,2026-09-24,nasdaq_screener,
AAON,AAON Inc. Common Stock,6790881708.0,82.36,82453638.99951433,Industrials,Industrial Machinery/Components,,2026-09-24,nasdaq_screener,
AAP,Advance Auto Parts Inc.,2482440000.0,41.1,60400000.0,Consumer Discretionary,Auto & Home Supply Stores,,2026-09-24,nasdaq_screener,
AAPG,Ascentage Pharma Group International American Depository Shares,1454089938.0,15.58,93330548.01026958,Health Care,Biotechnology: Pharmaceutical Preparations,2025,2026-09-24,nasdaq_screener,
AAPL,Apple Inc. Common Stock,4918530543600.0,337.02,14594180000.0,Technology,Computer Manufacturing,1980,2026-09-24,nasdaq_screener,
AARD,Aardvark Therapeutics Inc. Common Stock,121679744.0,5.56,21884846.043165468,Health Care,Biotechnology: Pharmaceutical Preparations,2025,2026-09-24,nasdaq_screener,
AAT,American Assets Trust Inc. Common Stock,1319576537.0,21.49,61404212.98278269,Real Estate,Real Estate Investment Trusts,2011,2026-09-24,nasdaq_screener,
AAUC,Allied Gold Corporation Common Shares,3118605845.0,22.38,139347892.98480788,,,2025,2026-09-24,nasdaq_screener,
ABAT,American Battery Technology Company Common Stock,329354621.0,2.31,142577758.008658,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),,2026-09-24,nasdaq_screener,
ABBV,AbbVie Inc. Common Stock,468427449908.0,265.08,1767117285.0007546,Health Care,Biotechnology: Pharmaceutical Preparations,2012,2026-09-24,nasdaq_screener,
ABCB,Ameris Bancorp Common Stock,5477963920.0,81.63,67107239.00526767,Finance,Major Banks,1994,2026-09-24,nasdaq_screener,
ABCL,AbCellera Biologics Inc. Common Shares,3987277062.0,12.31,323905529.00081235,Health Care,Biotechnology: Pharmaceutical Preparations,2020,2026-09-24,nasdaq_screener,
ABEO,Abeona Therapeutics Inc. Common Stock,316227614.0,5.53,57184016.99819168,Health Care,Biotechnology: Pharmaceutical Preparations,,2026-09-24,nasdaq_screener,
ABG,Asbury Automotive Group Inc Common Stock,3258631974.0,181.52,17951917.000881445,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,2002,2026-09-24,nasdaq_screener,
ABLV,Able View Global Inc. Class B Ordinary Shares,53558679.0,0.9699,55220825.85833591,Consumer Discretionary,Other Consumer Services,,2026-09-24,nasdaq_screener,
ABM,ABM Industries Incorporated Common Stock,2912559076.0,49.69,58614591.99034011,Consumer Discretionary,Diversified Commercial Services,,2026-09-24,nasdaq_screener,
ABNB,Airbnb Inc. Class A Common Stock,89566362314.0,149.58,598785682.0029415,Consumer Discretionary,Diversified Commercial Services,2020,2026-09-24,nasdaq_screener,
ABOS,Acumen Pharmaceuticals Inc. Common Stock,166691342.0,2.305,72317285.03253795,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2021,2026-09-24,nasdaq_screener,
ABR,Arbor Realty Trust Common Stock,781678200.0,4.19,186558042.95942718,Real Estate,Real Estate Investment Trusts,2004,2026-09-24,nasdaq_screener,
ABSI,Absci Corporation Common Stock,1672378527.0,9.745,171614009.9538225,Health Care,Biotechnology: Commercial Physical & Biological Resarch,2021,2026-09-24,nasdaq_screener,
ABT,Abbott Laboratories Common Stock,179077367303.0,103.49,1730383295.9996135,Health Care,Biotechnology: Pharmaceutical Preparations,,2026-09-24,nasdaq_screener,
ABTC,American Bitcoin Corp. Class A Common Stock,721643356.0,9.91,72819713.0171544,Finance,Finance: Consumer Services,2018,2026-09-24,nasdaq_screener,
ABTS,Abits Group Inc Ordinary Shares,4082345.0,1.27,3214444.8818897638,Finance,Finance: Consumer Services,,2026-09-24,nasdaq_screener,
ABUS,Arbutus Biopharma Corporation Common Stock,959562000.0,4.85,197847835.0515464,Health Care,Biotechnology: Pharmaceutical Preparations,,2026-09-24,nasdaq_screener,
ABVC,ABVC BioPharma Inc. Common Stock,30385976.0,1.14,26654364.912280705,Health Care,Biotechnology: Pharmaceutical Preparations,,2026-09-24,nasdaq_screener,
ABX,Abacus Global Management Inc. Class A Common Stock,764735387.0,7.82,97792248.97698209,Finance,Investment Managers,,2026-09-24,nasdaq_screener,
ACA,Arcosa Inc. Common Stock ,7194147519.0,146.5,49106809.00341297,Industrials,Metal Fabrications,2018,2026-09-24,nasdaq_screener,
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,0.0,9.9801,,Finance,Blank Checks,2026,2026-09-24,nasdaq_screener,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,4381729323.0,25.43,172305518.01022413,Health Care,Biotechnology: Pharmaceutical Preparations,1985,2026-09-24,nasdaq_screener,
ACB,Aurora Cannabis Inc. Common Shares,261458219.0,4.22,61956923.933649294,Health Care, Medicinal Chemicals and Botanical Products ,,2026-09-24,nasdaq_screener,
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,36557000.0,2.63,13900000.0,Consumer Discretionary,Professional Services,2025,2026-09-24,nasdaq_screener,
ACCO,Acco Brands Corporation Common Stock,392307164.0,4.25,92307568.0,Consumer Discretionary,Publishing,,2026-09-24,nasdaq_screener,
