symbol,market_cap,shares,last_price,currency,asof,error
MSTR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
COIN,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
HOOD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CRCL,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
GLXY,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
IREN,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CORZ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CIFR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
WULF,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
HUT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
MARA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RIOT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CRDO,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
LITE,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
COHR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
AAOI,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
POET,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ALAB,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
MRVL,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RMBS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CAMT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ONTO,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
FORM,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ACMR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
BE,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
VRT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CRWV,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NBIS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
APLD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
MU,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SNDK,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
AXTI,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NVTS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NSCL,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
OKLO,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SMR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NNE,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
LEU,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
UEC,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
UUUU,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
DNN,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NXE,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
EU,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
URG,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CCJ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SRUUF,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
EOSE,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
FLNC,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
GEV,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ORA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
GFUZ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
IONQ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RGTI,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
QBTS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
QUBT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ARQQ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
QNT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
INFQ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
HQ,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SERV,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SYM,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
OUST,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
HSAI,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
9880.HK,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RKLB,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ASTS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
PL,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
BKSY,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RDW,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
LUNR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
FLY,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
KRMN,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
AVAV,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RCAT,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ONDS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
KTOS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
UMAC,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
XBI,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
NTLA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
BEAM,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CRSP,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RXRX,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SDGR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CMPS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
MNMD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ABOS,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
RNAC,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
KYTX,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
LRMR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
MP,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
USAR,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
AG,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
HL,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
CDE,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
EXK,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SILV,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
VZLA,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ALB,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SBSW,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
IMPUY,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
BTC-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ETH-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SOL-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
HYPE-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
LINK-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
AAVE-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
SUI-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
APT-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
ENA-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
PENDLE-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
DOGE-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
XRP-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
BNB-USD,,,,,2026-09-24,Too Many Requests. Rate limited. Try after a while.
